word,bengaliMeaning,pronunciation,example,exampleBengali,difficulty,level,partOfSpeech,Type of sentence,Type of tense
Evidence,প্রমাণ,/ˈɛvʌdʌns/,The evidence will play a major role in the final decision.,চূড়ান্ত সিদ্ধান্তে প্রমাণ বড় ভূমিকা রাখবে।,Hard (High-Frequency),IELTS Band 7-9,noun,Simple,Future Simple
Able,সক্ষম,/ˈeɪbʌl/,It is able to prepare well before the test.,পরীক্ষার আগে ভালোভাবে প্রস্তুতি নেওয়া সক্ষম।,Easy (High-Frequency),IELTS Band 5-6,adjective,Simple,Present Simple
Alternative,বিকল্প,/ɔltˈɜrnʌtɪv/,The article discusses the alternative in great detail.,প্রবন্ধটিতে বিকল্প নিয়ে বিস্তারিত আলোচনা করা হয়েছে।,Hard (High-Frequency),IELTS Band 7-9,noun,Simple,Present Simple
Apparently,আপাতদৃষ্টিতে,/ʌpˈɛrʌntli/,"Because she worked apparently, she finished on time.",সে আপাতদৃষ্টিতে কাজ করেছিল বলে সময়মতো শেষ করতে পেরেছিল।,Hard (High-Frequency),IELTS Band 7-9,adverb,Complex,Past Simple
Appropriate,যথাযথ,/ʌprˈoʊpriʌt/,The area has become increasingly appropriate in recent years.,সাম্প্রতিক বছরগুলোতে এলাকাটি ক্রমশ যথাযথ হয়ে উঠেছে।,Hard (High-Frequency),IELTS Band 7-9,adjective,Simple,Present Perfect
Extinct,বিলুপ্ত,/ɪkstˈɪŋkt/,"Because the situation was so extinct, everyone took notice.",পরিস্থিতিটি এতটাই বিলুপ্ত ছিল যে সবাই লক্ষ্য করেছিল।,Medium (High-Frequency),IELTS Band 6-7,adjective,Complex,Past Simple
Impact,প্রভাব,/ɪmpˈækt/,"Although the impact seemed minor, it changed everything.","যদিও প্রভাব বিষয়টি সামান্য মনে হয়েছিল, এটি সবকিছু বদলে দিয়েছিল।",Easy (High-Frequency),IELTS Band 5-6,noun,Complex,Past Simple
Individual,ব্যক্তি,/ɪndʌvˈɪdʒʌwʌl/,Every student should understand the individual before the exam.,পরীক্ষার আগে প্রতিটি শিক্ষার্থীর ব্যক্তি সম্পর্কে বোঝা উচিত।,Hard (High-Frequency),IELTS Band 7-9,noun,Simple,Present Simple
Instance,উদাহরণ,/ˈɪnstʌns/,The instance will play a major role in the final decision.,চূড়ান্ত সিদ্ধান্তে উদাহরণ বড় ভূমিকা রাখবে।,Medium (High-Frequency),IELTS Band 6-7,noun,Simple,Future Simple
Involve,জড়িত করা,/ɪnvˈɑlv/,"Because of the involve, the whole plan had to change.",জড়িত করা-এর কারণে পুরো পরিকল্পনা বদলাতে হয়েছিল।,Medium (High-Frequency),IELTS Band 6-7,noun,Complex,Past Simple
Plenty,প্রচুর,/plˈɛnti/,The article discusses the plenty in great detail.,প্রবন্ধটিতে প্রচুর নিয়ে বিস্তারিত আলোচনা করা হয়েছে।,Easy (High-Frequency),IELTS Band 5-6,noun,Simple,Present Simple
Prevent,প্রতিরোধ করা,/prɪvˈɛnt/,"Because the situation was so prevent, everyone took notice.",পরিস্থিতিটি এতটাই প্রতিরোধ করা ছিল যে সবাই লক্ষ্য করেছিল।,Medium (High-Frequency),IELTS Band 6-7,adjective,Complex,Past Simple
Recruitment,নিয়োগ,/rʌkrˈutmʌnt/,The result was extremely recruitment.,ফলাফলটি অত্যন্ত নিয়োগ ছিল।,Hard (High-Frequency),IELTS Band 7-9,adjective,Simple,Past Simple
Reveal,প্রকাশ করা,/rɪvˈil/,It is reveal to prepare well before the test.,পরীক্ষার আগে ভালোভাবে প্রস্তুতি নেওয়া প্রকাশ করা।,Easy (High-Frequency),IELTS Band 5-6,adjective,Simple,Present Simple
Ability,ক্ষমতা,/ʌbˈɪlʌti/,"Although the ability seemed minor, it changed everything.","যদিও ক্ষমতা বিষয়টি সামান্য মনে হয়েছিল, এটি সবকিছু বদলে দিয়েছিল।",Medium (High-Frequency),IELTS Band 6-7,noun,Complex,Past Simple
Appearance,উপস্থিতি,/ʌpˈɪrʌns/,Every student should understand the appearance before the exam.,পরীক্ষার আগে প্রতিটি শিক্ষার্থীর উপস্থিতি সম্পর্কে বোঝা উচিত।,Hard (High-Frequency),IELTS Band 7-9,noun,Simple,Present Simple
Aspect,দিক,/ˈæspɛkt/,The aspect will play a major role in the final decision.,চূড়ান্ত সিদ্ধান্তে দিক বড় ভূমিকা রাখবে।,Easy (High-Frequency),IELTS Band 5-6,noun,Simple,Future Simple
Assessment,মূল্যায়ন,/ʌsˈɛsmʌnt/,"Because the situation was so assessment, everyone took notice.",পরিস্থিতিটি এতটাই মূল্যায়ন ছিল যে সবাই লক্ষ্য করেছিল।,Hard (High-Frequency),IELTS Band 7-9,adjective,Complex,Past Simple
Attractive,আকর্ষণীয়,/ʌtrˈæktɪv/,The result was extremely attractive.,ফলাফলটি অত্যন্ত আকর্ষণীয় ছিল।,Hard (High-Frequency),IELTS Band 7-9,adjective,Simple,Past Simple
Benefit,সুবিধা,/bˈɛnʌfɪt/,Scientists are still examining the benefit closely.,বিজ্ঞানীরা এখনো সুবিধা খুব কাছ থেকে পর্যবেক্ষণ করছেন।,Medium (High-Frequency),IELTS Band 6-7,noun,Simple,Present Continuous
Cognitive,জ্ঞানীয়,/kˈɑgnɪtɪv/,"Although it looked cognitive, the plan actually worked.","যদিও এটি জ্ঞানীয় মনে হয়েছিল, পরিকল্পনাটি আসলে কাজ করেছিল।",Hard (High-Frequency),IELTS Band 7-9,adjective,Complex,Past Simple
Comfortable,আরামদায়ক,/kˈʌmfɜrtʌbʌl/,Most experts consider this method quite comfortable.,বেশিরভাগ বিশেষজ্ঞ এই পদ্ধতিটিকে বেশ আরামদায়ক মনে করেন।,Hard (High-Frequency),IELTS Band 7-9,adjective,Simple,Present Simple
Convenient,সুবিধাজনক,/kʌnvˈinjʌnt/,The area has become increasingly convenient in recent years.,সাম্প্রতিক বছরগুলোতে এলাকাটি ক্রমশ সুবিধাজনক হয়ে উঠেছে।,Hard (High-Frequency),IELTS Band 7-9,adjective,Simple,Present Perfect
Demonstrate,প্রদর্শন করা,/dˈɛmʌnstreɪt/,They demonstrate this issue every single day.,তারা প্রতিদিন এই বিষয়টি প্রদর্শন করে।,Hard (High-Frequency),IELTS Band 7-9,verb,Simple,Present Simple
Enhance,উন্নতি করা,/ɛnhˈæns/,The enhance will play a major role in the final decision.,চূড়ান্ত সিদ্ধান্তে উন্নতি করা বড় ভূমিকা রাখবে।,Medium (High-Frequency),IELTS Band 6-7,noun,Simple,Future Simple
Evolved,প্রসৃত/অভিব্যক্ত,/ɪvˈɑlvd/,Experts have evolveded this issue for decades.,বিশেষজ্ঞরা কয়েক দশক ধরে এই বিষয়টি প্রসৃত/অভিব্যক্ত করে আসছেন।,Medium (High-Frequency),IELTS Band 6-7,verb,Simple,Present Perfect
Exhibition,প্রদর্শনী,/ɛksʌbˈɪʃʌn/,The article discusses the exhibition in great detail.,প্রবন্ধটিতে প্রদর্শনী নিয়ে বিস্তারিত আলোচনা করা হয়েছে।,Hard (High-Frequency),IELTS Band 7-9,noun,Simple,Present Simple
Extensive,ব্যাপক,/ɪkstˈɛnsɪv/,Most experts consider this method quite extensive.,বেশিরভাগ বিশেষজ্ঞ এই পদ্ধতিটিকে বেশ ব্যাপক মনে করেন।,Hard (High-Frequency),IELTS Band 7-9,adjective,Simple,Present Simple
Flexible,নমনীয়,/flˈɛksʌbʌl/,The area has become increasingly flexible in recent years.,সাম্প্রতিক বছরগুলোতে এলাকাটি ক্রমশ নমনীয় হয়ে উঠেছে।,Medium (High-Frequency),IELTS Band 6-7,adjective,Simple,Present Perfect
Fragile,ভঙ্গুর,/frˈædʒʌl/,Researchers have studied this fragile for many years.,গবেষকরা বহু বছর ধরে এই ভঙ্গুর নিয়ে গবেষণা করেছেন।,Medium (High-Frequency),IELTS Band 6-7,noun,Simple,Present Perfect
Identify,চিহিন্ত করা,/aɪdˈɛntʌfaɪ/,They identify this issue every single day.,তারা প্রতিদিন এই বিষয়টি চিহিন্ত করে।,Medium (High-Frequency),IELTS Band 6-7,verb,Simple,Present Simple
Impressive,চিত্তাকর্ষক,/ɪmprˈɛsɪv/,It is impressive to prepare well before the test.,পরীক্ষার আগে ভালোভাবে প্রস্তুতি নেওয়া চিত্তাকর্ষক।,Hard (High-Frequency),IELTS Band 7-9,adjective,Simple,Present Simple
Initial,প্রাথমিক,/ɪnˈɪʃʌl/,"Although it looked initial, the plan actually worked.","যদিও এটি প্রাথমিক মনে হয়েছিল, পরিকল্পনাটি আসলে কাজ করেছিল।",Medium (High-Frequency),IELTS Band 6-7,adjective,Complex,Past Simple
Innovation,উদ্ভাবন,/ɪnʌvˈeɪʃʌn/,"Because of the innovation, the whole plan had to change.",উদ্ভাবন-এর কারণে পুরো পরিকল্পনা বদলাতে হয়েছিল।,Hard (High-Frequency),IELTS Band 7-9,noun,Complex,Past Simple
Intense,তীব্র,/ɪntˈɛns/,The article discusses the intense in great detail.,প্রবন্ধটিতে তীব্র নিয়ে বিস্তারিত আলোচনা করা হয়েছে।,Medium (High-Frequency),IELTS Band 6-7,noun,Simple,Present Simple
Observation,পর্যবেক্ষণ,/ɑbzɜrvˈeɪʃʌn/,Scientists are still examining the observation closely.,বিজ্ঞানীরা এখনো পর্যবেক্ষণ খুব কাছ থেকে পর্যবেক্ষণ করছেন।,Hard (High-Frequency),IELTS Band 7-9,noun,Simple,Present Continuous
Perceive,উপলব্ধি করা,/pɜrsˈiv/,The result was extremely perceive.,ফলাফলটি অত্যন্ত উপলব্ধি করা ছিল।,Medium (High-Frequency),IELTS Band 6-7,adjective,Simple,Past Simple
Perspective,দৃষ্টিভঙ্গি,/pɜrspˈɛktɪv/,It is perspective to prepare well before the test.,পরীক্ষার আগে ভালোভাবে প্রস্তুতি নেওয়া দৃষ্টিভঙ্গি।,Hard (High-Frequency),IELTS Band 7-9,adjective,Simple,Present Simple
Process,প্রক্রিয়া,/prˈɑsɛs/,"Although the process seemed minor, it changed everything.","যদিও প্রক্রিয়া বিষয়টি সামান্য মনে হয়েছিল, এটি সবকিছু বদলে দিয়েছিল।",Medium (High-Frequency),IELTS Band 6-7,noun,Complex,Past Simple
Professional,পেশাদার,/prʌfˈɛʃʌnʌl/,Most experts consider this method quite professional.,বেশিরভাগ বিশেষজ্ঞ এই পদ্ধতিটিকে বেশ পেশাদার মনে করেন।,Hard (High-Frequency),IELTS Band 7-9,adjective,Simple,Present Simple
Recognition,স্বীকৃতি,/rɛkʌgnˈɪʃʌn/,The recognition will play a major role in the final decision.,চূড়ান্ত সিদ্ধান্তে স্বীকৃতি বড় ভূমিকা রাখবে।,Hard (High-Frequency),IELTS Band 7-9,noun,Simple,Future Simple
Reduction,হাস,/rʌdˈʌkʃʌn/,"Because of the reduction, the whole plan had to change.",হাস-এর কারণে পুরো পরিকল্পনা বদলাতে হয়েছিল।,Medium (High-Frequency),IELTS Band 6-7,noun,Complex,Past Simple
Remarkable,লক্ষণীয়,/rɪmˈɑrkʌbʌl/,The result was extremely remarkable.,ফলাফলটি অত্যন্ত লক্ষণীয় ছিল।,Hard (High-Frequency),IELTS Band 7-9,adjective,Simple,Past Simple
Responsible,দায়িত্বশীল,/rispˈɑnsʌbʌl/,It is responsible to prepare well before the test.,পরীক্ষার আগে ভালোভাবে প্রস্তুতি নেওয়া দায়িত্বশীল।,Hard (High-Frequency),IELTS Band 7-9,adjective,Simple,Present Simple
Several,বিভিন্ন,/sˈɛvrʌl/,"Although it looked several, the plan actually worked.","যদিও এটি বিভিন্ন মনে হয়েছিল, পরিকল্পনাটি আসলে কাজ করেছিল।",Medium (High-Frequency),IELTS Band 6-7,adjective,Complex,Past Simple
Specific,নির্দিষ্ট,/spʌsˈɪfɪk/,Most experts consider this method quite specific.,বেশিরভাগ বিশেষজ্ঞ এই পদ্ধতিটিকে বেশ নির্দিষ্ট মনে করেন।,Medium (High-Frequency),IELTS Band 6-7,adjective,Simple,Present Simple
Abandon,পরিত্যাগ করা,/ʌbˈændʌn/,"Although the abandon seemed minor, it changed everything.","যদিও পরিত্যাগ করা বিষয়টি সামান্য মনে হয়েছিল, এটি সবকিছু বদলে দিয়েছিল।",Medium (High-Frequency),IELTS Band 6-7,noun,Complex,Past Simple
Affordable,সাশ্রয়ী,/ʌfˈɔrdʌbʌl/,"Because the situation was so affordable, everyone took notice.",পরিস্থিতিটি এতটাই সাশ্রয়ী ছিল যে সবাই লক্ষ্য করেছিল।,Hard (High-Frequency),IELTS Band 7-9,adjective,Complex,Past Simple
Assume,ধরে নেওয়া,/ʌsˈum/,The assume will play a major role in the final decision.,চূড়ান্ত সিদ্ধান্তে ধরে নেওয়া বড় ভূমিকা রাখবে।,Medium (High-Frequency),IELTS Band 6-7,noun,Simple,Future Simple
Astonishing,আশ্চর্যজনক,/ʌstˈɑnɪʃɪŋ/,"Next year, the company will astonishing this plan.",আগামী বছর কোম্পানিটি এই পরিকল্পনা আশ্চর্যজনক করবে।,Hard (High-Frequency),IELTS Band 7-9,verb,Simple,Future Simple
Consider,বিবেচনা করা,/kʌnsˈɪdɜr/,The article discusses the consider in great detail.,প্রবন্ধটিতে বিবেচনা করা নিয়ে বিস্তারিত আলোচনা করা হয়েছে।,Medium (High-Frequency),IELTS Band 6-7,noun,Simple,Present Simple
Desirable,কাম্য,/dɪzˈaɪrʌbʌl/,Most experts consider this method quite desirable.,বেশিরভাগ বিশেষজ্ঞ এই পদ্ধতিটিকে বেশ কাম্য মনে করেন।,Hard (High-Frequency),IELTS Band 7-9,adjective,Simple,Present Simple
Distribution,বিতরণ,/dɪstrʌbjˈuʃʌn/,The distribution was clearly explained in the report.,প্রতিবেদনে বিতরণ বিষয়টি স্পষ্টভাবে ব্যাখ্যা করা হয়েছিল।,Hard (High-Frequency),IELTS Band 7-9,noun,Simple,Past Simple
Diversity,বৈচিত্র্য,/dɪvˈɜrsɪti/,Researchers have studied this diversity for many years.,গবেষকরা বহু বছর ধরে এই বৈচিত্র্য নিয়ে গবেষণা করেছেন।,Medium (High-Frequency),IELTS Band 6-7,noun,Simple,Present Perfect
Entrepreneur,উদ্যোক্তা,/ɑntrʌprʌnˈɜr/,"Although the entrepreneur seemed minor, it changed everything.","যদিও উদ্যোক্তা বিষয়টি সামান্য মনে হয়েছিল, এটি সবকিছু বদলে দিয়েছিল।",Hard (High-Frequency),IELTS Band 7-9,noun,Complex,Past Simple
Expansion,সম্প্রসারণ,/ɪkspˈænʃʌn/,Every student should understand the expansion before the exam.,পরীক্ষার আগে প্রতিটি শিক্ষার্থীর সম্প্রসারণ সম্পর্কে বোঝা উচিত।,Medium (High-Frequency),IELTS Band 6-7,noun,Simple,Present Simple
Extent,পরিমাণ,/ɪkstˈɛnt/,"Although it looked extent, the plan actually worked.","যদিও এটি পরিমাণ মনে হয়েছিল, পরিকল্পনাটি আসলে কাজ করেছিল।",Easy (High-Frequency),IELTS Band 5-6,adjective,Complex,Past Simple
Fascinating,চিত্তাকর্ষক,/fˈæsʌneɪtɪŋ/,"Because they fascinatinged early, the project succeeded.","যেহেতু তারা আগেই চিত্তাকর্ষক করেছিল, প্রকল্পটি সফল হয়েছিল।",Hard (High-Frequency),IELTS Band 7-9,verb,Complex,Past Simple
Improvement,উন্নতি,/ɪmprˈuvmʌnt/,The area has become increasingly improvement in recent years.,সাম্প্রতিক বছরগুলোতে এলাকাটি ক্রমশ উন্নতি হয়ে উঠেছে।,Hard (High-Frequency),IELTS Band 7-9,adjective,Simple,Present Perfect
Inevitable,অনিবার্য,/ɪnˈɛvʌtʌbʌl/,"Because the situation was so inevitable, everyone took notice.",পরিস্থিতিটি এতটাই অনিবার্য ছিল যে সবাই লক্ষ্য করেছিল।,Hard (High-Frequency),IELTS Band 7-9,adjective,Complex,Past Simple
Intention,উদ্দেশ্য,/ɪntˈɛntʃʌn/,The intention was clearly explained in the report.,প্রতিবেদনে উদ্দেশ্য বিষয়টি স্পষ্টভাবে ব্যাখ্যা করা হয়েছিল।,Medium (High-Frequency),IELTS Band 6-7,noun,Simple,Past Simple
Introductory,প্রাথমিক,/ɪntrʌdˈʌktɜri/,It is introductory to prepare well before the test.,পরীক্ষার আগে ভালোভাবে প্রস্তুতি নেওয়া প্রাথমিক।,Hard (High-Frequency),IELTS Band 7-9,adjective,Simple,Present Simple
Maintenance,রক্ষণাবেক্ষণ,/mˈeɪntʌnʌns/,"Although the maintenance seemed minor, it changed everything.","যদিও রক্ষণাবেক্ষণ বিষয়টি সামান্য মনে হয়েছিল, এটি সবকিছু বদলে দিয়েছিল।",Hard (High-Frequency),IELTS Band 7-9,noun,Complex,Past Simple
Particular,বিশেষ,/pɜrtˈɪkjʌlɜr/,Every student should understand the particular before the exam.,পরীক্ষার আগে প্রতিটি শিক্ষার্থীর বিশেষ সম্পর্কে বোঝা উচিত।,Hard (High-Frequency),IELTS Band 7-9,noun,Simple,Present Simple
Predict,ভবিষ্যদ্বাণী করা,/prɪdˈɪkt/,The predict will play a major role in the final decision.,চূড়ান্ত সিদ্ধান্তে ভবিষ্যদ্বাণী করা বড় ভূমিকা রাখবে।,Medium (High-Frequency),IELTS Band 6-7,noun,Simple,Future Simple
Range,পরিসর,/rˈeɪndʒ/,"Because of the range, the whole plan had to change.",পরিসর-এর কারণে পুরো পরিকল্পনা বদলাতে হয়েছিল।,Easy (High-Frequency),IELTS Band 5-6,noun,Complex,Past Simple
Reliable,নির্ভরযোগ্য,/rɪlˈaɪʌbʌl/,The result was extremely reliable.,ফলাফলটি অত্যন্ত নির্ভরযোগ্য ছিল।,Medium (High-Frequency),IELTS Band 6-7,adjective,Simple,Past Simple
Reputation,খ্যাতি,/rɛpjʌtˈeɪʃʌn/,Scientists are still examining the reputation closely.,বিজ্ঞানীরা এখনো খ্যাতি খুব কাছ থেকে পর্যবেক্ষণ করছেন।,Hard (High-Frequency),IELTS Band 7-9,noun,Simple,Present Continuous
Spectacular,চমৎকার,/spɛktˈækjʌlɜr/,The spectacular was clearly explained in the report.,প্রতিবেদনে চমৎকার বিষয়টি স্পষ্টভাবে ব্যাখ্যা করা হয়েছিল।,Hard (High-Frequency),IELTS Band 7-9,noun,Simple,Past Simple
Substance,পদার্থ,/sˈʌbstʌns/,Researchers have studied this substance for many years.,গবেষকরা বহু বছর ধরে এই পদার্থ নিয়ে গবেষণা করেছেন।,Medium (High-Frequency),IELTS Band 6-7,noun,Simple,Present Perfect
Substantial,যথেষ্ট,/sʌbstˈænʃʌl/,The area has become increasingly substantial in recent years.,সাম্প্রতিক বছরগুলোতে এলাকাটি ক্রমশ যথেষ্ট হয়ে উঠেছে।,Hard (High-Frequency),IELTS Band 7-9,adjective,Simple,Present Perfect
Temporary,অস্থায়ী,/tˈɛmpɜrɛri/,"Because the situation was so temporary, everyone took notice.",পরিস্থিতিটি এতটাই অস্থায়ী ছিল যে সবাই লক্ষ্য করেছিল।,Medium (High-Frequency),IELTS Band 6-7,adjective,Complex,Past Simple
Unpredictable,অনিশ্চিত,/ʌnprɪdˈɪktʌbʌl/,The result was extremely unpredictable.,ফলাফলটি অত্যন্ত অনিশ্চিত ছিল।,Hard (High-Frequency),IELTS Band 7-9,adjective,Simple,Past Simple
Absorb,শোষণ করা,/ʌbzˈɔrb/,"Because of the absorb, the whole plan had to change.",শোষণ করা-এর কারণে পুরো পরিকল্পনা বদলাতে হয়েছিল।,Easy,IELTS Band 5-6,noun,Complex,Past Simple
Abundant,প্রচুর,/ʌbˈʌndʌnt/,"Although it looked abundant, the plan actually worked.","যদিও এটি প্রচুর মনে হয়েছিল, পরিকল্পনাটি আসলে কাজ করেছিল।",Medium,IELTS Band 6-7,adjective,Complex,Past Simple
Accommodation,থাকার ব্যবস্থা,/ʌkɑmʌdˈeɪʃʌn/,Scientists are still examining the accommodation closely.,বিজ্ঞানীরা এখনো থাকার ব্যবস্থা খুব কাছ থেকে পর্যবেক্ষণ করছেন।,Hard,IELTS Band 7-9,noun,Simple,Present Continuous
Accurate,সঠিক,/ˈækjɜrʌt/,The team is accurating new ways to solve it.,দলটি এটি সমাধানের নতুন উপায় সঠিক করছে।,Hard,IELTS Band 7-9,verb,Simple,Present Continuous
Affected,প্রভাবিত,/ʌfˈɛktɪd/,"Next year, the company will affected this plan.",আগামী বছর কোম্পানিটি এই পরিকল্পনা প্রভাবিত করবে।,Medium,IELTS Band 6-7,verb,Simple,Future Simple
Ambition,উচ্চাকাজ্ফা,/æmbˈɪʃʌn/,"Although the ambition seemed minor, it changed everything.","যদিও উচ্চাকাজ্ফা বিষয়টি সামান্য মনে হয়েছিল, এটি সবকিছু বদলে দিয়েছিল।",Medium,IELTS Band 6-7,noun,Complex,Past Simple
Approach,পদ্ধতি,/ʌprˈoʊtʃ/,Every student should understand the approach before the exam.,পরীক্ষার আগে প্রতিটি শিক্ষার্থীর পদ্ধতি সম্পর্কে বোঝা উচিত।,Medium,IELTS Band 6-7,noun,Simple,Present Simple
Artificial,কৃত্রিম,/ɑrtʌfˈɪʃʌl/,"Although it looked artificial, the plan actually worked.","যদিও এটি কৃত্রিম মনে হয়েছিল, পরিকল্পনাটি আসলে কাজ করেছিল।",Hard,IELTS Band 7-9,adjective,Complex,Past Simple
Assumption,ধারণা,/ʌsˈʌmpʃʌn/,"Because of the assumption, the whole plan had to change.",ধারণা-এর কারণে পুরো পরিকল্পনা বদলাতে হয়েছিল।,Hard,IELTS Band 7-9,noun,Complex,Past Simple
Beneath,নিচে,/bɪnˈiθ/,The article discusses the beneath in great detail.,প্রবন্ধটিতে নিচে নিয়ে বিস্তারিত আলোচনা করা হয়েছে।,Medium,IELTS Band 6-7,noun,Simple,Present Simple
Breed,প্রজনন করা,/brˈid/,The team is breeding new ways to solve it.,দলটি এটি সমাধানের নতুন উপায় প্রজনন করছে।,Easy,IELTS Band 5-6,verb,Simple,Present Continuous
Compelling,বাধ্যকারী,/kʌmpˈɛlɪŋ/,"Next year, the company will compelling this plan.",আগামী বছর কোম্পানিটি এই পরিকল্পনা বাধ্যকারী করবে।,Hard,IELTS Band 7-9,verb,Simple,Future Simple
Comprehensive,ব্যাপক,/kɑmprihˈɛnsɪv/,It is comprehensive to prepare well before the test.,পরীক্ষার আগে ভালোভাবে প্রস্তুতি নেওয়া ব্যাপক।,Hard,IELTS Band 7-9,adjective,Simple,Present Simple
Concentration,একাগ্রতা,/kɑnsʌntrˈeɪʃʌn/,"Although the concentration seemed minor, it changed everything.","যদিও একাগ্রতা বিষয়টি সামান্য মনে হয়েছিল, এটি সবকিছু বদলে দিয়েছিল।",Hard,IELTS Band 7-9,noun,Complex,Past Simple
Concern,উদ্বেগ,/kʌnsˈɜrn/,Every student should understand the concern before the exam.,পরীক্ষার আগে প্রতিটি শিক্ষার্থীর উদ্বেগ সম্পর্কে বোঝা উচিত।,Medium,IELTS Band 6-7,noun,Simple,Present Simple
Conducted,পরিচালিত,/kʌndˈʌktʌd/,Experts have conducteded this issue for decades.,বিশেষজ্ঞরা কয়েক দশক ধরে এই বিষয়টি পরিচালিত করে আসছেন।,Medium,IELTS Band 6-7,verb,Simple,Present Perfect
Conflict,সংঘাত,/kˈɑnflɪkt/,"Because of the conflict, the whole plan had to change.",সংঘাত-এর কারণে পুরো পরিকল্পনা বদলাতে হয়েছিল।,Medium,IELTS Band 6-7,noun,Complex,Past Simple
Consequence,ফলাফল,/kˈɑnsʌkwʌns/,The article discusses the consequence in great detail.,প্রবন্ধটিতে ফলাফল নিয়ে বিস্তারিত আলোচনা করা হয়েছে।,Hard,IELTS Band 7-9,noun,Simple,Present Simple
Consistent,সামঞজস্যপূর্ণ,/kʌnsˈɪstʌnt/,It is consistent to prepare well before the test.,পরীক্ষার আগে ভালোভাবে প্রস্তুতি নেওয়া সামঞজস্যপূর্ণ।,Hard,IELTS Band 7-9,adjective,Simple,Present Simple
Consumption,ব্যবহার,/kʌnsˈʌmpʃʌn/,The consumption was clearly explained in the report.,প্রতিবেদনে ব্যবহার বিষয়টি স্পষ্টভাবে ব্যাখ্যা করা হয়েছিল।,Hard,IELTS Band 7-9,noun,Simple,Past Simple
Depict,চিত্রিত করা,/dɪpˈɪkt/,Researchers have studied this depict for many years.,গবেষকরা বহু বছর ধরে এই চিত্রিত করা নিয়ে গবেষণা করেছেন।,Easy,IELTS Band 5-6,noun,Simple,Present Perfect
Destruction,ধ্বংস,/dɪstrˈʌkʃʌn/,"Although the destruction seemed minor, it changed everything.","যদিও ধ্বংস বিষয়টি সামান্য মনে হয়েছিল, এটি সবকিছু বদলে দিয়েছিল।",Hard,IELTS Band 7-9,noun,Complex,Past Simple
